	OLIVE
	TAVIA
!! LEE	NAMES WITH "LE"
!! LENA	NAMES ENDING WITH "LEEN/LINA"
!! LINA	NAMES ENDING WITH "LENA/LINA"
!! LYNN	NAMES ENDING WITH "LENE/LINA/LYN"
!! MAC, MACK	ANY NAME STARTING WITH MAC/MC
!! MARION	#NAME?
!! MC	ANY NAME STARTING WITH MAC/MC
!! ROSE	NAMES STARTING WITH "ROSE"
!! SELMA	#NAME?
!! STAN	NAMES STARTING WITH "STAN"
!! TINA	NAMES ENDING WITH "TINE/TINA"
!! TY	NAMES STARTING "TY"
!! VIDA	#NAME?
!! WILDA (F)	WILLIE
!! WILLIE	NAMES STARTING WITH "WIL"
!!MAXINE	MAX - NAMES STARTING WITH "MAX"
!!NAME	NICK NAME
!!NANCY	#NAME?
AARON	RON
ABEDNEGO	BEDNEY
ABEL	ABE
ABIGAIL	AB
ABIGAIL	ABBIE
ABIGAIL	ABBY
ABIGAIL	GAIL
ABIGAIL	NABBY
ABIJAH	AB
ABIJAH	BIGE
ABNER	AB
ABNER	ABBIE
ABRAHAM	ABE
ABRAHAM	ABRAM
ABRAHAM	BRAM
ABSALOM	AB
ABSALOM	ABBIE
ABSALOM	APP
ADALINE	ADA
ADALINE	ADELA
ADALINE	ALINE
ADALINE	EDITH
ADAM	ADE
ADAM	EDIE
ADDY	AD
ADELA	DELLA
ADELAIDE	ADA
ADELAIDE	ADDIE
ADELAIDE	ADELA
ADELAIDE	ADELINE
ADELAIDE	DELLA
ADELAIDE	HEIDE
ADELBERT	ALBERT
ADELBERT	BERT
ADELBERT	DEL
ADELBERT	DELBERT
ADELINE	ADDIE
ADELINE	LINNEY
ADOLPHUS	ADO
ADOLPHUS	ADOLPH
ADOLPHUS	DOLPH
ADRIAN	RIAN
ADRIENNE	ADRIAN
AGATHA	ADDY
AGATHA	AG
AGATHA	AGGIE
AGATHA	AGNES
AGGY	AG
AGNES	AGGY
AGNES	ANN
AGNES	NANCY
AGNES	NESSIE
AILEEN	HELEN
ALANSON	AL
ALANSON	LANSON
ALASTAIR	AL
ALAZAMA	ALI
ALBERT	AL
ALBERT	BERT
ALBERT	BIRD
ALBERTA	ABERTINA
ALBERTA	ALBERTINE
ALBERTA	ALLIE
ALBERTA	BERT
ALBERTA	BERTIE
ALEVA	LEVE
ALEVA	LEVY
ALEXANDER	ALA
ALEXANDER	ALEC
ALEXANDER	ALEX
ALEXANDER	ANDI
ALEXANDER	EC
ALEXANDER	LEX
ALEXANDER	SANDY
ALEXANDER	XANDRA
ALEXANDRA	LEXA
ALEXANDRA	XAN
ALEXANDRIA	ALLA
ALEXANDRIA	DRINA
ALEXANDRIA	ELLIE
ALEXIS	LEXI
ALFRED	AL
ALFRED	ALF
ALFRED	ALFIE
ALFRED	FRED
ALFREDA	ALFY
ALFREDA	FRIEDA
ALGERNON	ALGY
ALICE	ALCY
ALICE	ALICIA
ALICE	ALLIE
ALICE	ELSIE
ALICE	LISA
ALICIA	ALLY
ALINE	ADELINE
ALISON	ALI
ALMENA	ALLIE
ALMENA	MENA
ALMINA	MINNIE
ALMIRA	MYRA
ALONZO	AL
ALONZO	ALPHONZO
ALONZO	LON
ALONZO	LONNIE
ALONZO	LONZO
ALPHINIAS	ALPHUS
ALVERTA	VERT
ALVERTA	VIRDIE
ALYSSA	AL
ALYSSA	ALLY
ALYSSA	LISSIA
ALZADA	ZADA
AMANDA	AMY
AMANDA	MANDA
AMANDA	MANDANA
AMANDA	MANDY
AMBROSE	BROSE
AMELIA	AMY
AMELIA	EMILY
AMELIA	MEL
AMELIA	MELIA
AMELIA	MILLIE
AMERICA	MEC
AMOS	MOSES
ANASTASIA	ANA
ANASTASIA	STACY
ANDREA	DREA
ANDREA	REA
ANDREW	ANDY
ANDREW	ANSEY
ANDREW	DREW
ANGELA	ANGEL
ANGELA	ANGELICA
ANGELA	ANGELINA
ANGELA	ANGELINE
ANGELA	ANGIE
ANGELA	JANE
ANGELINA	LINA
ANN	HANNAH
ANN	NAN
ANN	NANA
ANN	NANCY
ANN	NANNY
ANN	SUSANNA
ANNA	HANNAH
ANNA	NAN
ANNA	NANA
ANNA	NANCY
ANNA	NANNY
ANNA	SUSANNA
ANNE	HANNAH
ANNE	NAN
ANNE	NANA
ANNE	NANCY
ANNE	NANNY
ANNE	SUSANNA
ANNETTE	ANNA
ANNETTE	NETTIE
ANNIE	HANNAH
ANNIE	NAN
ANNIE	NANA
ANNIE	NANCY
ANNIE	NANNY
ANNIE	SUSANNA
ANSELM	ANCE
ANSELM	ANSE
ANSELM	ANSEL
ANTHONY	TONY
ANTOINETTE	ANTONIA
ANTOINETTE	NET
ANTOINETTE	NETTIE
ANTOINETTE	TONIE
ANTONIA	NETTIE
APPOLINE	APPIE
APPOLINE	APPY
AQUILLA	QUIL
AQUILLA	QUILLIE
ARABELLA	ARA
ARABELLA	BELLA
ARABELLA	BELLE
ARAMINTA	MIDDIE
ARAMINTA	MINTY
ARAMINTA	RUMINTA
ARCHIBALD	ARCHIE
ARCHIBALD	BALDIE
ARCHILLES	KILL
ARCHILLES	KILLIS
ARIADNE	ARIE
ARIELLE	ARIE
ARISTOTLE	TELLY
ARIZONA	ONA
ARIZONA	ONIE
ARLENE	LENA
ARMANDA	MANDY
ARMIDA	MIDDIE
ARMIDA	MINTY
ARMIDA	RUMINTA
ARMILDA	MILLY
ARMINDA	MINDIE
ARMINTA	MINITE
ARMINTA	MINNIE
ARNOLD	ARNIE
ARTELEPSA	EPSEY
ARTEMUS	ART
ARTHUR	ART
ARTHUSA	THURSA
ARZADA	ZADDI
ASENATH	ASSENE
ASENATH	NATHEY
ASENATH	SENE
AUBREY	BREE
AUDREY	DEE
AUGUSTA	AGGY
AUGUSTA	AUGIE
AUGUSTA	GUSIE
AUGUSTA	GUSSIE
AUGUSTA	INA
AUGUSTA	TINA
AUGUSTINA	AGGY
AUGUSTINA	AUGIE
AUGUSTINA	GUSIE
AUGUSTINA	GUSSIE
AUGUSTINA	INA
AUGUSTINA	TINA
AUGUSTINE	GUS
AUGUSTINE	GUSTUS
AUGUSTUS	GUS
AUGUSTUS	GUSTUS
AURELIA	ORA
AURELIA	REE
AURELIA	RILLY
AURILLA	ORA
AURILLA	REE
AURILLA	RILLY
AVARILLA	RILLA
BARBARA	BABS
BARBARA	BARB
BARBARA	BARBIE
BARBARA	BARBY
BARBARA	BOBBIE
BARBARA	BONNIE
BARBERY	BARBARA
BARNABAS	BARNEY
BARNARD	BARNEY
BARNARD	BERNIE
BARTHOLOMEW	BART
BARTHOLOMEW	BARTEL
BARTHOLOMEW	BARTH
BARTHOLOMEW	BAT
BARTICUS	BART
BAZALEEL	BASIL
BEATRICE	BEA
BEATRICE	TRISHA
BEATRICE	TRISSY
BEATRICE	TRIXIE
BEDELIA	BRIDGIT
BEDELIA	DELIA
BELINDA	BELL
BELINDA	BELLE
BELINDA	LINDA
BENEDICT	BENNETT
BENGTA	BEN
BENGTHA	BEN
BENJAMIN	BEN
BENJAMIN	BENJIE
BENJAMIN	BENNIE
BENJAMIN	JAMIE
BERNARD	BARNEY
BERNARD	BERNIE
BERTHA	BERTIE
BERTRAM	BERT
BETHENA	BETH
BETHENA	THANEY
BEVERLY	BEV
BEZALEEL	ZEELY
BLANCHE	BEA
BOETIUS	BO
BRENDA	BRANDY
BRIAN	BRYAN
BRIAN	BRYANT
BRIDGET	BIDDY
BRIDGET	BRIDIE
BRIDGET	BRIE
BRIDGET	DELIA
BRITTANY	BRITT
CALDONIA	CALLIE DONA
CALEB	CAL
CALIFORNIA	CALLIE
CALISTA	KISSY
CALPURNIA	CALLY
CALVIN	CAL
CAMERON	CAM
CAMILLE	CAMMY
CAMILLE	MILLIE
CAMPBELL	CAM
CANDACE	CANDY
CANDACE	DACEY
CARL	CHARLES
CARL	KARL
CARLOTTA	LOTTIE
CARMELLIA	MELLIA
CARMON	CAMMIE
CARMON	CARM
CARMON	CHARM
CAROLINE	CADDIE
CAROLINE	CAROL
CAROLINE	CARRIE
CAROLINE	CASSIE
CAROLINE	LENA
CAROLINE	LYNN
CAROLYN	CADDIE
CAROLYN	CAROL
CAROLYN	CARRIE
CAROLYN	CASSIE
CAROLYN	LENA
CAROLYN	LYNN
CARTHAETTE	ETTA
CARTHAETTE	ETTY
CASPER	JASPER
CASSANDRA	CASS
CASSANDRA	CASSEY
CASSANDRA	CASSIE
CASSANDRA	SANDI
CASSANDRA	SANDRA
CASWELL	CASS
CATHERINE	CATHY
CATHERINE	KAREN
CATHERINE	KATHARINE
